original,en,es,de,fr,it,ko,ru,zh-cn,zh-tw
購入する,Buy,Comprar,Kaufen,Acheter,Comprare,구매,Покупать,购买,購買
売却する,Sell,Vender,Verkaufen,Vendre,Vendere,매각하다,Продавать,卖,賣
やめる,Cancel,Cancelar,Absagen,Annuler,Annulla,멈추다,останавливаться,取消,取消
持っている数,Haves,numero que tienes,"Nummer, die Sie haben",Numéro que vous avez,Numero che hai,가지고 있는 수,Номер у вас есть,你有的号码,你有的號碼
現在の経験値,Exp.,Exp. actual,Aktuelle Erfa.,Exp. actuelle,Esp. attuale,현재 경험치,Текущий опыт,目前的经验,目前的經驗
次の%sまで,Next to A,Hasta el proximo %s,Bis zum nächsten %s,Jusqu'au prochain%s,Fino al prossimo%s,다음 %s까지,До следующего %s,直到下一个 %s,直到下一個 %s
どのファイルにセーブしますか？,Which file do you want to save to?,¿En qué archivo desea guardar?,In welche Datei möchten Sie speichern?,Dans quel fichier souhaitez-vous enregistrer ?,In quale file vuoi salvare?,어떤 파일에 저장하시겠습니까?,В какой файл вы хотите сохранить?,您要保存到哪个文件？,您要保存到哪個文件？
どのファイルをロードしますか？,Which files do you want to load?,¿Qué archivo quieres cargar?,Welche Datei möchten Sie laden?,Quel fichier voulez-vous charger ?,Quale file vuoi caricare?,어떤 파일을 로드하시겠습니까?,Какой файл вы хотите загрузить?,您要加载哪个文件？,您要加載哪個文件？
ファイル,File,Archivo,Datei,Dossier,File,파일,Файл,文件,文件
%sたち,%s's party,iesta de %s,%s s party,La fête de %s,La festa di %s,%s 파티,вечеринка %s,%s等人,%s等人
%sが出現！,%s appears!,¡Aparece %s!,%s erscheint!,%s apparaît !,%s appare!,%s이 출현!,Появляется %s!,%s来了！,%s來了！
%sは先手を取った！,%s took the initiative!,¡%s tomó la iniciativa!,%s hat die Initiative ergriffen!,%s a pris l'initiative !,%s ha preso l'iniziativa!,%s님이 선수를 잡았습니다!,%s проявил инициативу!,%s主动了！,%s主動了！
%sは不意をつかれた！,%s was caught off guard!,¡%s se sorprendió!,%s war überrascht!,%s a été surpris !,%s è rimasto sorpreso!,%s님은 의도하지 않았습니다!,%s был удивлен!,%s大吃一惊！,%s大吃一驚！
